iter	Passed	Remaining
464	755	869
465	757	868
466	759	866
467	760	864
468	762	862
469	763	860
470	765	860
471	768	859
472	769	857
473	770	855
474	772	853
475	773	851
476	775	849
477	776	848
478	778	846
479	780	845
480	782	843
481	783	842
482	785	840
483	787	839
484	788	837
485	789	835
486	791	833
487	792	831
488	793	829
489	796	829
490	797	827
491	799	825
492	800	823
493	802	821
494	803	820
495	804	817
496	806	816
497	807	813
498	808	811
499	810	810
500	812	809
501	813	807
502	814	805
503	816	803
504	817	801
505	818	799
506	820	797
507	821	795
508	822	793
509	823	791
510	826	790
511	838	799
512	840	798
513	843	797
514	846	797
515	850	797
516	853	797
517	856	796
518	859	796
519	863	797
520	865	795
521	868	795
522	873	796
523	876	796
524	878	794
525	880	793
526	883	792
527	888	794
528	890	792
529	893	792
530	895	791
531	898	790
532	901	790
533	904	789
534	906	788
535	908	786
536	912	786
537	916	787
538	919	786
539	922	785
540	925	785
541	927	783
542	929	782
543	932	781
544	936	781
545	937	779
546	940	778
547	942	777
548	945	776
549	948	776
550	950	774
551	952	773
552	954	771
553	956	770
554	959	769
555	962	768
556	966	768
557	968	766
558	971	766
559	973	764
560	978	765
561	981	764
562	983	763
563	986	762
564	989	761
565	993	762
566	996	760
567	999	759
568	1002	759
569	1005	758
570	1009	758
571	1012	757
572	1016	757
573	1021	758
574	1025	757
575	1027	756
576	1028	754
577	1030	752
578	1031	749
579	1032	747
580	1035	746
581	1036	744
582	1038	742
583	1039	740
584	1040	738
585	1041	735
586	1042	733
587	1043	731
588	1045	729
589	1046	727
590	1048	725
591	1049	723
592	1051	721
593	1053	719
594	1054	717
595	1055	715
596	1057	713
597	1059	711
598	1060	709
599	1061	707
600	1063	706
601	1065	704
602	1067	702
603	1068	700
604	1070	698
605	1071	696
606	1072	694
607	1073	692
608	1075	690
609	1076	688
610	1077	685
611	1080	684
612	1081	683
613	1083	680
614	1084	678
615	1085	676
616	1088	675
617	1089	673
618	1090	671
619	1092	669
620	1093	667
621	1095	665
622	1097	664
623	1099	662
624	1100	660
625	1101	658
626	1102	656
627	1104	654
628	1105	651
629	1106	649
630	1107	647
631	1109	645
632	1110	644
633	1112	641
634	1113	639
635	1114	637
636	1115	635
637	1117	633
638	1118	631
639	1120	630
640	1121	628
641	1122	626
642	1124	624
643	1125	622
644	1127	620
645	1128	618
646	1129	616
647	1130	614
648	1132	612
649	1133	610
650	1134	608
651	1135	606
652	1137	604
653	1139	603
654	1142	601
655	1143	599
656	1145	597
657	1146	596
658	1148	594
659	1149	592
660	1151	590
661	1152	588
662	1154	587
663	1157	585
664	1158	583
665	1160	581
666	1161	580
667	1163	578
668	1165	576
669	1167	575
670	1170	573
671	1171	571
672	1173	570
673	1174	568
674	1175	566
675	1176	563
676	1177	561
677	1178	559
678	1180	557
679	1181	555
680	1182	553
